cleaned_text,sentiment
traffic me phanse ho,negative
internet kaam nahi kar raha hai,negative
aaj ka weather toh bilkul bakwas hai,negative
aaj kaafi boring hai na,negative
bilkul kharab traffic mein stuck ho gaya,negative
kaam ka pressure zyada hai,negative
bahut yaar koi kaam khtama nahi ho raha,negative
bus yaar phone kharab ho gaya,negative
kabhi kabhi toh khushi milti hi nahi hai life mein,negative
aaj kaam ka pressure bahut hai yaar,negative
traffic me pakde gaye,negative
bhai bakwaas gaya aapke jaise padhai karna padega,negative
haan yaar mera laptop kharab ho gaya hai,negative
bhai aaj ka movie bahut boring tha,negative
bhai ye phone to kharab ho gaya hai,negative
ye kya be itna late aa gaya,negative
battery dead ho gayi thi,negative
bas yaar kuchh thoda bore ho raha hoon,negative
bhai yeh movie bahut boring hai,negative
aaj kaam bahut tha itni jaldi kyu aaya,negative
aaj ka traffic toh bhaut zyada tha yaar,negative
phone mein battery kaam ho gayi,negative
thanda hi bas padhai karke aa gaya,negative
office ka work bahut zyada ho raha hai,negative
aaj kisi bhi baat pe dil nahi lag raha,negative
aaj kisi ne aise baat ki bahut gussa aaya,negative
mujhe thoda gussa aa raha hai,negative
kabhi kabhi toh bahut boredom hota hai,negative
woh to bahut ganda admi hai,negative
aaj weather bahut ganda hai na,negative
bahut yaar saare savings nikal gaye,negative
aaj toh traffic bada jam tha yaar,negative
mujhe bahut thanda lag raha hai,negative
nahi yaar koi interesting nahi mila,negative
zyaada nahi manageable hai,negative
mobile ka battery toh jaldi khatam ho gaya,negative
traffic toh aaj bilkul jam hai,negative
aaj toh bahut thak gaya,negative
bus yaar traffic mein phas gaya,negative
yaar kya gussa aaya hai,negative
maths ka hai bahut tension hai,negative
bhai meri health thodi kharab hai,negative
koi baat nahi yaar sirf thoda headache hai,negative
phone nahi uthaya tumne kaha the,negative
mujhe bahut thanda lag raha hai,negative
kaam ka pressure hai aajkal,negative
traffic bahut hai aaj,negative
kuch alag se banake de bore ho gaya hu,negative
theek hu bas thodi headache hai,negative
office ka kaam bahut jyada hai,negative
laptop kharab ho gaya hai,negative
bhai aaj bahut mood off hai kuch nahi kar raha,negative
aare bhai traffic jam hai late ho jaoge,negative
bhai meri car ka puncture ho gaya hai kuch help karo,negative
aaj bahut garmi hai na,negative
kaam thoda bahut jyada ho gaya hai,negative
bhai mere phone ka battery chala gaya,negative
kabhi kabhi toh mood hi kharab hota hai,negative
ab kya karu yaar bore ho raha hu,negative
phone ki battery bahut jaldi kharab ho rahi hai,negative
bhai kya hua khamosh kyun hai,negative
yaar bahut bhook lagi hai,negative
yeh sab kaise ho gaya,negative
are yaar tum phone pe hi busy ho,negative
mobile charge khatam ho gaya,negative
nahi yaar aaj thoda thoka kaam hai,negative
ye phone kitna mahenga hai,negative
kitne ghanta soote ho,negative
train chhootega nahi na,negative
aaj kaafi garmi hai na,negative
kuch nahi yaar same old same old,negative
yaar parking ki toh bahut problem hai parking lot check kar lo,negative
aaj kaafi garmi hai na,negative
kaam bahut zyada hai na,negative
aaj kaafi garmi hai na,negative
yeh coffee bilkul thandi hai bakwaas taste,negative
mobile gir gaya aur screen toot gayi damn,negative
boss ne fir daant diya mood off,negative
mobile gir gaya aur screen toot gayi damn,negative
boss ne fir daant diya mood off,negative
bhai traffic me phas gaya kya din kharab hai,negative
boss ne fir daant diya mood off,negative
yeh coffee bilkul thandi hai bakwaas taste,negative
zindagi bohot stressfull lag rahi hai aaj,negative
mobile gir gaya aur screen toot gayi damn,negative
net phir se slow hai irritation ho raha hai,negative
aaj sab kuch galat ho raha hai unlucky day,negative
bhai traffic me phas gaya kya din kharab hai,negative
bhai traffic me phas gaya kya din kharab hai,negative
yeh coffee bilkul thandi hai bakwaas taste,negative
office ka kaam khatam nahi ho raha uff,negative
net phir se slow hai irritation ho raha hai,negative
bhai traffic me phas gaya kya din kharab hai,negative
gym cancel kar diya motivation down hai,negative
yeh coffee bilkul thandi hai bakwaas taste,negative
bhai traffic me phas gaya kya din kharab hai,negative
aaj sab kuch galat ho raha hai unlucky day,negative
gym cancel kar diya motivation down hai,negative
aaj sab kuch galat ho raha hai unlucky day,negative
bhai traffic me phas gaya kya din kharab hai,negative
movie itni bakwaas thi pura time waste,negative
yeh coffee bilkul thandi hai bakwaas taste,negative
gym cancel kar diya motivation down hai,negative
boss ne fir daant diya mood off,negative
office ka kaam khatam nahi ho raha uff,negative
bhai traffic me phas gaya kya din kharab hai,negative
bhai traffic me phas gaya kya din kharab hai,negative
movie itni bakwaas thi pura time waste,negative
movie itni bakwaas thi pura time waste,negative
bhai traffic me phas gaya kya din kharab hai,negative
bhai traffic me phas gaya kya din kharab hai,negative
boss ne fir daant diya mood off,negative
bhai traffic me phas gaya kya din kharab hai,negative
movie itni bakwaas thi pura time waste,negative
yeh coffee bilkul thandi hai bakwaas taste,negative
office ka kaam khatam nahi ho raha uff,negative
yeh coffee bilkul thandi hai bakwaas taste,negative
office ka kaam khatam nahi ho raha uff,negative
movie itni bakwaas thi pura time waste,negative
mobile gir gaya aur screen toot gayi damn,negative
mobile gir gaya aur screen toot gayi damn,negative
mobile gir gaya aur screen toot gayi damn,negative
net phir se slow hai irritation ho raha hai,negative
office ka kaam khatam nahi ho raha uff,negative
boss ne fir daant diya mood off,negative
yeh coffee bilkul thandi hai bakwaas taste,negative
mobile gir gaya aur screen toot gayi damn,negative
boss ne fir daant diya mood off,negative
boss ne fir daant diya mood off,negative
mobile gir gaya aur screen toot gayi damn,negative
net phir se slow hai irritation ho raha hai,negative
bhai traffic me phas gaya kya din kharab hai,negative
movie itni bakwaas thi pura time waste,negative
yeh coffee bilkul thandi hai bakwaas taste,negative
movie itni bakwaas thi pura time waste,negative
zindagi bohot stressfull lag rahi hai aaj,negative
movie itni bakwaas thi pura time waste,negative
yeh coffee bilkul thandi hai bakwaas taste,negative
movie itni bakwaas thi pura time waste,negative
aaj sab kuch galat ho raha hai unlucky day,negative
gym cancel kar diya motivation down hai,negative
movie itni bakwaas thi pura time waste,negative
movie itni bakwaas thi pura time waste,negative
office ka kaam khatam nahi ho raha uff,negative
aaj sab kuch galat ho raha hai unlucky day,negative
bhai traffic me phas gaya kya din kharab hai,negative
yeh coffee bilkul thandi hai bakwaas taste,negative
movie itni bakwaas thi pura time waste,negative
mobile gir gaya aur screen toot gayi damn,negative
gym cancel kar diya motivation down hai,negative
aaj sab kuch galat ho raha hai unlucky day,negative
yeh coffee bilkul thandi hai bakwaas taste,negative
bhai traffic me phas gaya kya din kharab hai,negative
mobile gir gaya aur screen toot gayi damn,negative
yeh coffee bilkul thandi hai bakwaas taste,negative
zindagi bohot stressfull lag rahi hai aaj,negative
boss ne fir daant diya mood off,negative
gym cancel kar diya motivation down hai,negative
bhai traffic me phas gaya kya din kharab hai,negative
zindagi bohot stressfull lag rahi hai aaj,negative
gym cancel kar diya motivation down hai,negative
aaj sab kuch galat ho raha hai unlucky day,negative
net phir se slow hai irritation ho raha hai,negative
office ka kaam khatam nahi ho raha uff,negative
net phir se slow hai irritation ho raha hai,negative
bhai traffic me phas gaya kya din kharab hai,negative
boss ne fir daant diya mood off,negative
boss ne fir daant diya mood off,negative
movie itni bakwaas thi pura time waste,negative
movie itni bakwaas thi pura time waste,negative
bhai traffic me phas gaya kya din kharab hai,negative
movie itni bakwaas thi pura time waste,negative
aaj sab kuch galat ho raha hai unlucky day,negative
zindagi bohot stressfull lag rahi hai aaj,negative
office ka kaam khatam nahi ho raha uff,negative
mobile gir gaya aur screen toot gayi damn,negative
bhai traffic me phas gaya kya din kharab hai,negative
office ka kaam khatam nahi ho raha uff,negative
bhai traffic me phas gaya kya din kharab hai,negative
yeh coffee bilkul thandi hai bakwaas taste,negative
bhai traffic me phas gaya kya din kharab hai,negative
net phir se slow hai irritation ho raha hai,negative
zindagi bohot stressfull lag rahi hai aaj,negative
net phir se slow hai irritation ho raha hai,negative
gym cancel kar diya motivation down hai,negative
gym cancel kar diya motivation down hai,negative
boss ne fir daant diya mood off,negative
movie itni bakwaas thi pura time waste,negative
office ka kaam khatam nahi ho raha uff,negative
aaj sab kuch galat ho raha hai unlucky day,negative
